Game date,Win,Loss,Draw,Points,Tottenham,FTSE
1/31/2004,0,1,0,0,-0.0027,-0.0021
2/7/2004,1,0,0,3,0,0.0072
2/11/2004,1,0,0,3,0.1189,-0.0042
2/22/2004,0,0,1,1,0,0.0021
3/9/2004,0,1,0,0,0,0.0007
3/14/2004,1,0,0,3,0.0952,-0.0122
3/20/2004,0,1,0,0,0,-0.019
3/27/2004,0,1,0,0,-0.0295,0.0113
4/3/2004,0,1,0,0,0,0.0034
4/9/2004,0,1,0,0,0,0.0047
4/12/2004,0,0,1,1,0.0857,0.0058
4/17/2004,0,1,0,0,0.0857,0.002
4/25/2004,0,0,1,1,-0.0295,0.0004
5/2/2004,0,1,0,0,0,-0.0066
5/8/2004,1,0,0,3,0.0807,-0.0229
5/15/2004,1,0,0,3,0,-0.0087
8/14/2004,0,0,1,1,-0.0357,0.0113
8/21/2004,1,0,0,3,0.0011,0.0083
8/25/2004,0,0,1,1,0.0241,0.0096
8/28/2004,1,0,0,3,0,0.0081
9/12/2004,0,0,1,1,0,0.003
9/19/2004,0,0,1,1,-0.0045,-0.0025
9/25/2004,0,1,0,0,0,-0.0081
10/2/2004,1,0,0,3,-0.0413,0.0048
10/18/2004,0,1,0,0,0.0313,0.0062
10/23/2004,0,1,0,0,0,-0.011
10/30/2004,0,1,0,0,0.0189,0.0107
11/6/2004,0,1,0,0,0,-0.0049
11/13/2004,0,1,0,0,0,0.0019
11/22/2004,0,1,0,0,-0.0291,0.002
11/28/2004,1,0,0,3,0.0014,0.0018
12/4/2004,1,0,0,3,-0.0395,-0.0053
12/11/2004,1,0,0,3,0.0357,0.0091
12/18/2004,1,0,0,3,0.0526,0.0073
12/26/2004,1,0,0,3,0,0.0022
12/28/2004,0,0,1,1,0.04,0.0045
1/1/2005,1,0,0,3,0,-0.0012
1/4/2005,0,0,1,1,0.0735,-0.0085
1/15/2005,0,1,0,0,0.0515,0.0054
1/22/2005,0,1,0,0,-0.0258,0.0019
2/1/2005,0,1,0,0,-0.005,0.002
2/5/2005,1,0,0,3,0.125,0.0078
2/26/2005,1,0,0,3,0.0543,-0.0076
3/5/2005,0,1,0,0,0.0016,-0.0018
3/16/2005,0,1,0,0,0.0097,-0.0031
3/19/2005,1,0,0,3,0,0.0021
4/2/2005,0,0,1,1,-0.0548,-0.0035
4/10/2005,1,0,0,3,-0.0504,-0.0021
4/16/2005,0,0,1,1,0.0616,-0.0132
4/20/2005,0,0,1,1,-0.0381,-0.0005
4/25/2005,0,1,0,0,-0.0767,-0.004
5/1/2005,1,0,0,3,0,0.0024
5/7/2005,0,1,0,0,0.0096,-0.0017
5/15/2005,0,0,1,1,0.0103,-0.0005
8/13/2005,1,0,0,3,0,-0.0003
8/20/2005,1,0,0,3,0.0488,0.0011
8/24/2005,0,0,1,1,0,-0.0037
8/27/2005,0,1,0,0,0,-0.0053
9/10/2005,0,0,1,1,-0.0102,0.0029
9/17/2005,0,0,1,1,-0.0024,0.004
9/26/2005,1,0,0,3,-0.0059,-0.0011
10/1/2005,1,0,0,3,-0.0039,0.0043
10/15/2005,1,0,0,3,-0.0004,0.0022
10/22/2005,0,0,1,1,0,0.0127
10/29/2005,0,0,1,1,-0.0022,0.0199
11/7/2005,0,1,0,0,0.0769,0
11/20/2005,0,0,1,1,-0.0218,-0.0002
11/26/2005,1,0,0,3,0,-0.0084
12/3/2005,1,0,0,3,0.0047,-0.0032
12/12/2005,1,0,0,3,-0.0394,0.001
12/18/2005,0,0,1,1,-0.0463,0.0015
12/26/2005,1,0,0,3,0,-0.0003
12/28/2005,0,1,0,0,-0.0083,0.0028
12/31/2005,1,0,0,3,0,-0.0035
1/4/2006,1,0,0,3,0.0283,-0.0041
1/14/2006,0,1,0,0,-0.0285,0.0051
1/21/2006,0,0,1,1,-0.0216,-0.002
1/31/2006,0,1,0,0,0.0058,0.0072
2/5/2006,1,0,0,3,0.0118,0.0023
2/12/2006,0,0,1,1,0.006,0.0051
2/19/2006,0,0,1,1,0.0489,0.0029
3/5/2006,1,0,0,3,0,0.0067
3/11/2006,0,1,0,0,0.0291,0.0076
3/18/2006,1,0,0,3,-0.0241,-0.0013
3/27/2006,1,0,0,3,0.0283,-0.0061
4/1/2006,0,1,0,0,-0.0504,0.01
4/8/2006,1,0,0,3,0,0.0068
4/15/2006,1,0,0,3,0,0.0048
4/17/2006,0,1,0,0,-0.0051,0.0024
4/22/2006,0,0,1,1,0.018,-0.0055
4/30/2006,1,0,0,3,0,-0.0061
5/7/2006,0,1,0,0,-0.0432,-0.004
9/9/2006,0,1,0,0,0,-0.0048
9/17/2006,0,0,1,1,-0.002,0.0022
9/19/2006,0,1,0,0,-0.0135,0.0059
9/23/2006,0,1,0,0,0.0839,-0.0041
9/26/2006,0,1,0,0,-0.0339,0.0096
10/1/2006,1,0,0,3,0,-0.0005
10/14/2006,0,0,1,1,0,0.0025
10/22/2006,1,0,0,3,0.0036,0.0018
10/28/2006,0,0,1,1,0.0249,-0.0055
11/5/2006,1,0,0,3,0.0426,0.0124
11/12/2006,0,1,0,0,0,-0.0023
11/19/2006,0,0,1,1,-0.006,0.002
11/26/2006,1,0,0,3,0.0159,-0.0118
12/2/2006,0,1,0,0,-0.0143,0.0048
12/5/2006,1,0,0,3,0.0401,0.0006
12/9/2006,1,0,0,3,-0.0071,0.0012
12/17/2006,1,0,0,3,0.0696,-0.002
12/26/2006,1,0,0,3,-0.0014,0.0089
1/1/2007,0,0,1,1,-0.0127,0.0145
1/14/2007,0,1,0,0,0,0.0039
1/20/2007,0,0,1,1,-0.0234,-0.003
2/4/2007,0,1,0,0,-0.0188,0.0011
2/10/2007,0,1,0,0,-0.0061,-0.0046
2/21/2007,1,0,0,3,0,0.0037
2/25/2007,1,0,0,3,-0.0116,0.0052
3/4/2007,1,0,0,3,0,-0.0094
3/17/2007,1,0,0,3,-0.0119,0.0096
4/1/2007,1,0,0,3,0,0.0012
4/7/2007,0,1,0,0,-0.0116,0.0032
4/15/2007,0,0,1,1,0.0006,0.0083
4/21/2007,0,0,1,1,0.0877,-0.0011
4/28/2007,1,0,0,3,0.0842,0.0048
5/7/2007,1,0,0,3,-0.0391,-0.0081
5/10/2007,0,0,1,1,0.055,0.0064
5/13/2007,1,0,0,3,0.0261,-0.0016
